alg      instance      k  rep    v         
G        flat50-1      0  203    540       
G        flat50-1      0  204    539       
G        flat50-1      0  205    537       
G        flat50-1      0  206    542       
G        flat50-1      0  207    541       
G        flat50-1      0  208    542       
G        flat50-1      0  209    541       
G        flat50-1      0  210    541       
G        flat50-1      0  211    541       
G        flat50-1      0  212    540       
G        flat50-1      0  213    541       
G        flat50-1      0  214    540       
G        flat50-1      0  215    543       
G        flat50-1      0  216    541       
G        flat50-1      0  217    542       
G        flat50-1      0  218    542       
G        flat50-1      0  219    542       
G        flat50-1      0  220    542       
G        flat50-1      0  221    541       
G        flat50-1      0  222    542       
G        flat50-1      0  223    541       
G        flat50-1      0  224    541       
G        flat50-1      0  225    541       
G        flat50-1      0  226    540       
G        flat50-1      0  227    543       
G        flat50-1      0  228    542       
G        flat50-1      0  229    541       
G        flat50-1      0  230    541       
G        flat50-1      0  231    541       
G        flat50-1      0  232    540       
G        flat50-1      0  233    541       
G        flat50-1      0  234    541       
G        flat50-1      0  235    541       
G        flat50-1      0  236    541       
G        flat50-1      0  237    542       
G        flat50-1      0  238    543       
G        flat50-1      0  239    542       
G        flat50-1      0  240    539       
G        flat50-1      0  241    543       
G        flat50-1      0  242    539       
G        flat50-1      0  243    543       
G        flat50-1      0  244    541       
G        flat50-1      0  245    542       
G        flat50-1      0  246    540       
G        flat50-1      0  247    538       
G        flat50-1      0  248    542       
G        flat50-1      0  249    541       
G        flat50-1      0  250    542       
G        flat50-1      0  251    537       
G        flat50-1      0  252    540       
G        flat50-1      0  253    542       
G        flat50-1      0  254    540       
G        flat50-1      0  255    540       
G        flat50-1      0  256    543       
G        flat50-1      0  257    541       
G        flat50-1      0  258    540       
G        flat50-1      0  259    541       
G        flat50-1      0  260    542       
G        flat50-1      0  261    540       
G        flat50-1      0  262    540       
G        flat50-1      0  263    541       
G        flat50-1      0  264    541       
G        flat50-1      0  265    541       
G        flat50-1      0  266    540       
G        flat50-1      0  267    540       
G        flat50-1      0  268    542       
G        flat50-1      0  269    537       
G        flat50-1      0  270    541       
G        flat50-1      0  271    541       
G        flat50-1      0  272    541       
G        flat50-1      0  273    543       
G        flat50-1      0  274    541       
G        flat50-1      0  275    541       
G        flat50-1      0  276    537       
G        flat50-1      0  277    542       
G        flat50-1      0  278    543       
G        flat50-1      0  279    542       
G        flat50-1      0  280    541       
G        flat50-1      0  281    541       
G        flat50-1      0  282    543       
G        flat50-1      0  283    539       
G        flat50-1      0  284    541       
G        flat50-1      0  285    542       
G        flat50-1      0  286    541       
G        flat50-1      0  287    541       
G        flat50-1      0  288    540       
G        flat50-1      0  289    542       
G        flat50-1      0  290    543       
G        flat50-1      0  291    541       
G        flat50-1      0  292    541       
G        flat50-1      0  293    542       
G        flat50-1      0  294    541       
G        flat50-1      0  295    539       
G        flat50-1      0  296    540       
G        flat50-1      0  297    542       
G        flat50-1      0  298    539       
G        flat50-1      0  299    540       
G        flat50-1      0  300    541       
G        flat50-1      0  301    542       
G        flat50-1      0  302    542       
G        flat50-1      0  303    543       
G        flat50-1      0  304    541       
G        flat50-1      0  305    540       
G        flat50-1      0  306    544       
G        flat50-1      0  307    541       
G        flat50-1      0  308    540       
G        flat50-1      0  309    542       
G        flat50-1      0  310    541       
G        flat50-1      0  311    542       
G        flat50-1      0  312    539       
G        flat50-1      0  313    539       
G        flat50-1      0  314    542       
G        flat50-1      0  315    542       
G        flat50-1      0  316    541       
G        flat50-1      0  317    544       
G        flat50-1      0  318    540       
G        flat50-1      0  319    541       
G        flat50-1      0  320    541       
G        flat50-1      0  321    542       
G        flat50-1      0  322    541       
G        flat50-1      0  323    543       
G        flat50-1      0  324    543       
G        flat50-1      0  325    541       
G        flat50-1      0  326    540       
G        flat50-1      0  327    543       
G        flat50-1      0  328    540       
G        flat50-1      0  329    541       
G        flat50-1      0  330    542       
G        flat50-1      0  331    540       
G        flat50-1      0  332    540       
G        flat50-1      0  333    542       
G        flat50-1      0  334    542       
G        flat50-1      0  335    540       
G        flat50-1      0  336    541       
G        flat50-1      0  337    539       
G        flat50-1      0  338    540       
G        flat50-1      0  339    540       
G        flat50-1      0  340    543       
G        flat50-1      0  341    542       
G        flat50-1      0  342    539       
G        flat50-1      0  343    540       
